propertyId,propertyItemId,propertyParcelNumber,propertyAddress,propertyFaceValue,currentBidStatus,currentBidAmount,currentBidRequired,bid,bidType
560914e5d4c68c50bf9e17c5,033103, 69-031-03-011,8461 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17c6,033127, 69-031-03-007,8391 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17c7,033180, 69-031-03-014,8501 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17c8,033200, 69-031-01-017,8508 S CARR WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17c9,033253, 69-031-02-016,8585 W PAYNE AVE,"$1,419.30",Bids,1519.66,1520.66,,PTW
560914e5d4c68c50bf9e17ca,033290, 69-031-02-019,8480 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e4d4c68c50bf9e1481,033303, 69-023-01-022,8125 W STENE DR,"$2,149.85",Bids,2312,2313,,PTW
560914e5d4c68c50bf9e17cb,033328, 69-031-03-008,8401 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17cc,033386, 69-031-01-014,8507 S CARR ST,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17cd,033399, 69-031-03-012,8481 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e18ed,033475, 59-341-10-013,7773 S ESTES CT,$40.75,Bids,50.75,51.75,,PTW
560914e5d4c68c50bf9e17ce,033494, 69-031-02-020,8460 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e4d4c68c50bf9e1483,033516, 59-341-14-012,7705 S CODY ST,"$1,881.78",Bids,2024,2025,,PTW
560914e5d4c68c50bf9e17cf,033521, 69-031-02-021,8440 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17d0,033603, 69-031-01-018,8498 S CARR WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17d1,033638, 69-031-02-015,8529 S CARR WAY,"$1,419.30",Bids,1519.66,1520.66,,PTW
560914e5d4c68c50bf9e17d2,033643, 69-031-01-019,8488 S CARR WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17d3,033694, 69-031-03-013,8491 S CODY WAY,"$1,419.30",Bids,1519.66,1520.66,,PTW
560914e5d4c68c50bf9e17d4,033748, 69-031-01-015,8527 S CARR ST,"$1,419.30",Bids,1519.66,1520.66,,PTW
560914e5d4c68c50bf9e17d5,033757, 69-031-01-013,8497 S CARR ST,"$1,419.30",Bids,1519.66,1520.66,,PTW
560914e5d4c68c50bf9e17d6,033759, 69-031-03-010,8441 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17d7,033798, 69-031-01-021,8448 S CARR WAY,$261.67,Bids,267.91,268.91,,PTW
560914e4d4c68c50bf9e1484,033934, 49-292-01-008,12771 W JEWELL CIR,"$1,627.86",Bids,1751,1752,,PTW
560914e4d4c68c50bf9e1486,034364, 81-204-00-001,20950 BUFFALO CREEK RD,$982.93,Bids,1058,1059,,PTW
560914e4d4c68c50bf9e1487,034428, 71-271-06-001,28368 PARK AVE,$115.02,Bids,115.02,116.02,,PTW
560914e4d4c68c50bf9e1489,034499, 71-273-03-002,16885 7TH ST,$605.07,Bids,651,652,,PTW
560914e5d4c68c50bf9e17d8,034558, 60-174-00-002,0 VACANT LAND ,"$1,574.86",Bids,1686.11,1687.11,,PTW
560914e4d4c68c50bf9e148a,034620, 60-171-00-004,10506 SNOWY TRL,$739.84,Bids,796,797,,PTW
